ProductID	ItemTID	Count	Price	SpecialFlag	Description	BuyMessage
1	593	10	0	New	请到网页版商城购买	
2	596	10	0	New	请到网页版商城购买	
3	602	10	0	New	请到网页版商城购买	
4	615	10	0	New	请到网页版商城购买	
5	618	10	0	New	请到网页版商城购买	
6	842	10	0	New	请到网页版商城购买	
7	1171	1	0	New	请到网页版商城购买	
8	1174	10	0	New	请到网页版商城购买	
9	1830	10	0	New	请到网页版商城购买	
10	1832	10	0	New	请到网页版商城购买	
11	1834	10	0	New	请到网页版商城购买	
12	1836	1	0	New	请到网页版商城购买	
13	1838	10	0	New	请到网页版商城购买	
14	1840	10	0	New	请到网页版商城购买	
15	1844	1	0	New	请到网页版商城购买	
16	3435	1	0	New	请到网页版商城购买	
17	3436	1	0	New	请到网页版商城购买	
18	3437	1	0	New	请到网页版商城购买	
19	3438	1	0	New	请到网页版商城购买	
20	3903	1	0	New	请到网页版商城购买	
21	3904	1	0	New	请到网页版商城购买	
22	3905	10	0	New	请到网页版商城购买	
23	3906	10	0	New	请到网页版商城购买	
24	6001	1	0	New	请到网页版商城购买	
25	6002	1	0	New	请到网页版商城购买	
26	6003	1	0	New	请到网页版商城购买	
27	6004	1	0	New	请到网页版商城购买	
28	6005	1	0	New	请到网页版商城购买	
29	6006	1	0	New	请到网页版商城购买	
30	6008	1	0	New	请到网页版商城购买	
31	6009	1	0	New	请到网页版商城购买	
32	6010	1	0	New	请到网页版商城购买	
33	6011	1	0	New	请到网页版商城购买	
34	6012	1	0	New	请到网页版商城购买	
35	6013	1	0	New	请到网页版商城购买	
36	6014	1	0	New	请到网页版商城购买	
37	6015	1	0	New	请到网页版商城购买	
38	6016	1	0	New	请到网页版商城购买	
39	6017	1	0	New	请到网页版商城购买	
40	6018	1	0	New	请到网页版商城购买	
41	6019	1	0	New	请到网页版商城购买	
42	6020	1	0	New	请到网页版商城购买	
43	6021	1	0	New	请到网页版商城购买	
44	6022	1	0	New	请到网页版商城购买	
45	6023	1	0	New	请到网页版商城购买	
46	6024	1	0	New	请到网页版商城购买	
47	6025	1	0	New	请到网页版商城购买	
48	6026	1	0	New	请到网页版商城购买	
49	6027	1	0	New	请到网页版商城购买	
50	6028	1	0	New	请到网页版商城购买	
51	6029	1	0	New	请到网页版商城购买	
52	6030	1	0	New	请到网页版商城购买	
53	6031	1	0	New	请到网页版商城购买	
54	6032	1	0	New	请到网页版商城购买	
55	6033	1	0	New	请到网页版商城购买	
56	6034	1	0	New	请到网页版商城购买	
57	6035	1	0	New	请到网页版商城购买	
58	6036	1	0	New	请到网页版商城购买	
59	6037	1	0	New	请到网页版商城购买	
60	6038	1	0	New	请到网页版商城购买	
61	6039	1	0	New	请到网页版商城购买	
62	6040	1	0	New	请到网页版商城购买	
63	6041	1	0	New	请到网页版商城购买	
64	6042	1	0	New	请到网页版商城购买	
65	6043	1	0	New	请到网页版商城购买	
66	6044	1	0	New	请到网页版商城购买	
67	6045	1	0	New	请到网页版商城购买	
68	6046	1	0	New	请到网页版商城购买	
69	6047	1	0	New	请到网页版商城购买	
70	6048	1	0	New	请到网页版商城购买	
71	6049	1	0	New	请到网页版商城购买	
72	6050	1	0	New	请到网页版商城购买	
73	6051	1	0	New	请到网页版商城购买	
74	6052	1	0	New	请到网页版商城购买	
75	6054	10	0	New	请到网页版商城购买	
76	6055	10	0	New	请到网页版商城购买	
77	6056	10	0	New	请到网页版商城购买	
78	6057	10	0	New	请到网页版商城购买	
79	6058	10	0	New	请到网页版商城购买	
80	6059	10	0	New	请到网页版商城购买	
81	6060	10	0	New	请到网页版商城购买	
82	6061	10	0	New	请到网页版商城购买	
83	6062	10	0	New	请到网页版商城购买	
84	6063	10	0	New	请到网页版商城购买	
85	6064	10	0	New	请到网页版商城购买	
86	6066	1	0	New	请到网页版商城购买	
87	6067	1	0	New	请到网页版商城购买	
88	6068	1	0	New	请到网页版商城购买	
89	6069	1	0	New	请到网页版商城购买	
90	6070	1	0	New	请到网页版商城购买	
91	6071	1	0	New	请到网页版商城购买	
92	6072	1	0	New	请到网页版商城购买	
93	6073	1	0	New	请到网页版商城购买	
94	6077	1	0	New	请到网页版商城购买	
