Item Set	Item TID	Probability												
1	442	100												
100	442	95												
	196	1												
	216	1												
	218	1												
	220	1												
	222	1												
101	442	95												
	215	1												
	217	1												
	219	1												
	221	1												
	223	1												
2	1000	100												
3	441	100												
102	441	95												
	215	1												
	217	1												
	219	1												
	221	1												
	223	1												
103	441	95												
	197	1												
	225	1												
	227	1												
	229	1												
	231	1												
4	731	100												
5	714	100												
6	449	100												
104	449	95												
	214	1												
	224	1												
	226	1												
	228	1												
	230	1												
105	449	95												
	197	1												
	225	1												
	227	1												
	229	1												
	231	1												
7	995	100												
8	999	100												
9	439	100												
106	439	95												
	196	1												
	216	1												
	218	1												
	220	1												
	222	1												
107	439	95												
	214	1												
	224	1												
	226	1												
	228	1												
	230	1												
108	439	95												
	197	1												
	225	1												
	227	1												
	229	1												
	231	1												
109	439	95												
	1801	1												
	1804	1												
	1807	1												
	1810	1												
	1813	1												
10	730	100												
11	656	100												
12	986	95												
	196	1												
	216	1												
	218	1												
	220	1												
	222	1												
110	986	95												
	215	1												
	217	1												
	219	1												
	221	1												
	223	1												
111	986	95												
	1801	1												
	1804	1												
	1807	1												
	1810	1												
	1813	1												
112	986	95												
	1802	1												
	1805	1												
	1808	1												
	1811	1												
	1814	1												
13	1025	100												
14	1001	100												
15	985	95												
	196	1												
	216	1												
	218	1												
	220	1												
	222	1												
113	985	95												
	214	1												
	224	1												
	226	1												
	228	1												
	230	1												
114	985	95												
	197	1												
	225	1												
	227	1												
	229	1												
	231	1												
115	985	95												
	1801	1												
	1804	1												
	1807	1												
	1810	1												
	1813	1												
16	994	100												
17	721	100												
18	987	100												
116	987	95												
	196	1												
	216	1												
	218	1												
	220	1												
	222	1												
117	987	95												
	214	1												
	224	1												
	226	1												
	228	1												
	230	1												
118	987	95												
	215	1												
	217	1												
	219	1												
	221	1												
	223	1												
119	987	95												
	1801	1												
	1804	1												
	1807	1												
	1810	1												
	1813	1												
19	996	100												
20	1002	100												
21	443	95												
	196	1												
	216	1												
	218	1												
	220	1												
	222	1												
22	1027	100												
23	716	100												
24	1112	95												
	215	1												
	217	1												
	219	1												
	221	1												
	223	1												
120	1112	95												
	197	1												
	225	1												
	227	1												
	229	1												
	231	1												
121	1112	95												
	1801	1												
	1804	1												
	1807	1												
	1810	1												
	1813	1												
25	448	95												
	214	1												
	224	1												
	226	1												
	228	1												
	230	1												
122	448	95												
	215	1												
	217	1												
	219	1												
	221	1												
	223	1												
123	448	95												
	197	1												
	225	1												
	227	1
	229	1
	231	1
26	1026	100
27	718	100
28	990	95
	196	1
	216	1
	218	1
	220	1
	222	1
124	990	95
	214	1
	224	1
	226	1
	228	1
	230	1
125	990	95
	1801	1
	1804	1
	1807	1
	1810	1
	1813	1
29	997	100
30	1004	100
31	998	95
	196	1
	216	1
	218	1
	220	1
	222	1
126	998	95
	214	1						
	224	1						
	226	1						
	228	1						
	230	1						
32	445	100						
33	988	95						
	214	1						
	224	1						
	226	1						
	228	1						
	230	1						
127	988	95						
	215	1						
	217	1						
	219	1						
	221	1						
	223	1						
34	1003	100						
35	444	100						
128	444	95						
	197	1						
	225	1						
	227	1						
	229	1						
	231	1						
36	1017	95						
	1801	1						
	1804	1						
	1807	1						
	1810	1						
	1813	1						
129	1017	95						
	1786	1						
	1789	1						
	1792	1						
	1795	1						
	1798	1						
37	1018	100						
38	1019	95						
	196	1						
	216	1						
	218	1						
	220	1						
	222	1						
130	1019	95						
	197	1						
	225	1						
	227	1						
	229	1						
	231	1						
39	1020	100						
40	450	95						
	215	1						
	217	1						
	219	1						
	221	1						
	223	1						
131	450	95						
	197	1						
	225	1						
	227	1						
	229	1						
	231	1						
41	1021	95						
	196	1						
	216	1						
	218	1						
	220	1						
	222	1						
132	1021	95						
	197	1						
	225	1						
	227	1						
	229	1						
	231	1						
42	1022	100						
43	1023	100						
44	992	95						
	197	1						
	225	1						
	227	1						
	229	1						
	231	1						
45	1028	100						
46	728	100						
47	991	95						
	1801	1						
	1804	1						
	1807	1						
	1810	1						
	1813	1						
133	991	95						
	1786	1						
	1789	1						
	1792	1						
	1795	1						
	1798	1						
48	993	95						
	197	1						
	225	1						
	227	1						
	229	1						
	231	1						
134	993	95						
	1786	1						
	1789	1						
	1792	1						
	1795	1						
	1798	1						
135	993	95						
	1802	1						
	1805	1						
	1808	1						
	1811	1						
	1814	1						
49	1024	100						
50	1005	100						
51	1103	100						
136	1103	95						
	196	1						
	216	1						
	218	1						
	220	1						
	222	1						
137	1103	95						
	214	1						
	224	1						
	226	1						
	228	1						
	230	1						
138	1103	95						
	215	1						
	217	1						
	219	1						
	221	1						
	223	1						
139	1103	95						
	1801	1						
	1804	1						
	1807	1						
	1810	1						
	1813	1						
52	715	100						
53	1104	95						
	196	1						
	216	1						
	218	1						
	220	1						
	222	1						
140	1104	95						
	214	1						
	224	1						
	226	1						
	228	1						
	230	1						
141	1104	95						
